;;; ;Oxygen;Oxygen;Oxygen;;Compensation;Temperature;('C);;Pressure;Humidity;Temp. Probe;Int. Temp.;Analog In;Raw Data:; dphi (°);;;Signal;Intensity;(mV);;Ambient;Light;(mV);;Advanced Raw Values (only logged while raw data window is open);
Date;Time (HH:MM:SS);Time (s);Comment;Ch1;Ch2;Ch3;Ch4;Ch 1;Ch 2;Ch 3;Ch 4;(mbar);(%);('C);('C); (mV);Ch 1;Ch 2;Ch 3;Ch 4;Ch1;Ch2;Ch3;Ch4;Ch1;Ch2;Ch3;Ch4; (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi);
24/09/2024;09:01:45;0.00;;99.591;97.617;94.655;---;15.521;15.521;15.521;---;994.76;70.385;15.521;---;---;24.743;24.743;25.511;---;60.983;19.087;8.266;---;4.938;5.712;3.711;---;;
24/09/2024;09:02:15;30.00;;99.228;97.878;95.841;---;15.530;15.530;15.530;---;994.71;70.059;15.530;---;---;24.785;24.710;25.364;---;61.114;19.064;8.252;---;4.907;5.689;3.707;---;;
24/09/2024;09:02:45;60.00;;99.128;97.979;94.960;---;15.539;15.539;15.539;---;994.69;69.208;15.539;---;---;24.797;24.698;25.471;---;61.186;19.112;8.273;---;4.881;5.643;3.664;---;;
24/09/2024;09:03:15;90.00;;99.176;97.624;96.100;---;15.541;15.541;15.541;---;994.73;68.890;15.541;---;---;24.790;24.739;25.330;---;61.295;19.116;8.273;---;4.843;5.649;3.666;---;;
24/09/2024;09:03:45;120.00;;98.622;99.095;95.264;---;15.534;15.534;15.534;---;994.74;68.678;15.534;---;---;24.857;24.565;25.434;---;61.266;19.117;8.282;---;4.870;5.697;3.692;---;;
24/09/2024;09:04:15;150.00;;98.796;98.454;95.605;---;15.525;15.525;15.525;---;994.71;68.829;15.525;---;---;24.837;24.642;25.393;---;61.314;19.110;8.267;---;4.834;5.657;3.657;---;;
24/09/2024;09:04:45;180.00;;98.650;98.160;94.945;---;15.517;15.517;15.517;---;994.76;69.457;15.517;---;---;24.855;24.678;25.475;---;61.378;19.125;8.258;---;4.873;5.675;3.663;---;;
24/09/2024;09:05:15;210.00;;98.611;98.930;95.412;---;15.521;15.521;15.521;---;994.80;70.268;15.521;---;---;24.858;24.586;25.416;---;61.394;19.122;8.256;---;4.877;5.716;3.663;---;;
24/09/2024;09:05:45;240.00;;98.522;98.410;95.049;---;15.531;15.531;15.531;---;994.81;70.965;15.531;---;---;24.868;24.645;25.459;---;61.426;19.148;8.304;---;4.815;5.638;3.655;---;;
24/09/2024;09:06:15;270.00;;98.250;97.802;94.682;---;15.525;15.525;15.525;---;994.80;71.278;15.525;---;---;24.901;24.719;25.506;---;61.488;19.141;8.272;---;4.832;5.671;3.665;---;;
24/09/2024;09:06:45;300.00;;98.532;99.127;95.014;---;15.516;15.516;15.516;---;994.80;71.399;15.516;---;---;24.869;24.564;25.466;---;61.509;19.166;8.273;---;4.867;5.704;3.669;---;;
24/09/2024;09:07:15;330.00;;98.303;97.519;96.383;---;15.519;15.519;15.519;---;994.77;71.483;15.519;---;---;24.896;24.754;25.297;---;61.559;19.174;8.272;---;4.895;5.715;3.673;---;;
24/09/2024;09:07:45;360.00;;98.596;98.151;94.871;---;15.529;15.529;15.529;---;994.78;71.575;15.529;---;---;24.860;24.677;25.486;---;61.523;19.121;8.273;---;4.845;5.675;3.646;---;;
24/09/2024;09:08:15;390.00;;98.119;97.724;96.096;---;15.539;15.539;15.539;---;994.75;71.417;15.539;---;---;24.916;24.727;25.331;---;61.595;19.163;8.275;---;4.857;5.662;3.652;---;;
24/09/2024;09:08:45;420.00;;97.874;98.168;95.570;---;15.536;15.536;15.536;---;994.81;71.321;15.536;---;---;24.945;24.674;25.395;---;61.561;19.158;8.277;---;4.882;5.654;3.640;---;;
24/09/2024;09:09:15;450.00;;98.023;97.985;95.464;---;15.541;15.541;15.541;---;994.80;71.066;15.541;---;---;24.927;24.695;25.407;---;61.520;19.195;8.275;---;4.909;5.633;3.668;---;;
24/09/2024;09:09:45;480.00;;98.202;97.133;95.627;---;15.552;15.552;15.552;---;994.72;70.494;15.552;---;---;24.905;24.797;25.387;---;61.556;19.170;8.279;---;4.884;5.639;3.669;---;;
24/09/2024;09:10:15;510.00;;98.083;97.674;96.021;---;15.562;15.562;15.562;---;994.81;70.197;15.562;---;---;24.916;24.731;25.337;---;61.550;19.189;8.272;---;4.860;5.660;3.648;---;;
24/09/2024;09:10:45;540.00;;98.345;97.901;96.184;---;15.570;15.570;15.570;---;994.76;69.790;15.570;---;---;24.885;24.702;25.315;---;61.569;19.172;8.273;---;4.853;5.664;3.650;---;;
24/09/2024;09:11:15;570.00;;97.732;98.173;95.274;---;15.563;15.563;15.563;---;994.75;69.139;15.563;---;---;24.959;24.671;25.429;---;61.527;19.167;8.281;---;4.923;5.691;3.636;---;;
24/09/2024;09:11:45;600.00;;98.041;97.944;95.380;---;15.569;15.569;15.569;---;994.74;69.093;15.569;---;---;24.922;24.698;25.417;---;61.584;19.189;8.266;---;4.877;5.631;3.642;---;;
24/09/2024;09:12:15;630.00;;97.924;98.200;95.998;---;15.569;15.569;15.569;---;994.78;69.380;15.569;---;---;24.936;24.667;25.339;---;61.576;19.177;8.278;---;4.868;5.639;3.687;---;;
24/09/2024;09:12:45;660.00;;97.926;98.148;95.790;---;15.574;15.574;15.574;---;994.90;69.284;15.574;---;---;24.933;24.671;25.362;---;61.593;19.193;8.286;---;4.873;5.680;3.682;---;;
24/09/2024;09:13:15;690.00;;97.832;97.583;95.410;---;15.569;15.569;15.569;---;994.85;69.202;15.569;---;---;24.945;24.740;25.410;---;61.611;19.184;8.272;---;4.906;5.663;3.651;---;;
24/09/2024;09:13:45;720.00;;98.504;97.744;96.271;---;15.561;15.561;15.561;---;994.83;69.185;15.561;---;---;24.867;24.721;25.306;---;61.612;19.193;8.273;---;4.836;5.698;3.649;---;;
24/09/2024;09:14:15;750.00;;98.222;97.233;95.131;---;15.561;15.561;15.561;---;994.82;69.136;15.561;---;---;24.900;24.783;25.446;---;61.604;19.213;8.275;---;4.852;5.671;3.655;---;;
24/09/2024;09:14:45;780.00;;98.056;97.598;96.262;---;15.568;15.568;15.568;---;994.82;69.668;15.568;---;---;24.920;24.738;25.306;---;61.660;19.222;8.277;---;4.855;5.672;3.660;---;;
24/09/2024;09:15:15;810.00;;97.894;97.647;95.896;---;15.569;15.569;15.569;---;994.82;70.393;15.569;---;---;24.939;24.732;25.351;---;61.678;19.226;8.296;---;4.839;5.659;3.666;---;;
24/09/2024;09:15:45;840.00;;97.935;97.311;95.636;---;15.561;15.561;15.561;---;994.91;70.685;15.561;---;---;24.934;24.772;25.383;---;61.731;19.253;8.279;---;4.833;5.650;3.670;---;;
24/09/2024;09:16:15;870.00;;97.861;97.819;95.539;---;15.557;15.557;15.557;---;994.91;70.856;15.557;---;---;24.943;24.713;25.395;---;61.805;19.259;8.281;---;4.835;5.694;3.667;---;;
24/09/2024;09:16:45;900.00;;97.712;97.581;96.255;---;15.555;15.555;15.555;---;994.92;71.026;15.555;---;---;24.961;24.740;25.307;---;61.762;19.260;8.296;---;4.891;5.684;3.656;---;;
24/09/2024;09:17:15;930.00;;97.890;96.820;95.118;---;15.560;15.560;15.560;---;994.92;71.171;15.560;---;---;24.939;24.832;25.446;---;61.772;19.270;8.285;---;4.903;5.688;3.644;---;;
24/09/2024;09:17:45;960.00;;97.847;97.087;96.067;---;15.559;15.559;15.559;---;994.86;71.301;15.559;---;---;24.945;24.801;25.331;---;61.741;19.289;8.324;---;4.866;5.638;3.631;---;;
24/09/2024;09:18:15;990.00;;97.805;97.096;96.396;---;15.549;15.549;15.549;---;994.90;71.163;15.549;---;---;24.950;24.800;25.290;---;61.771;19.271;8.295;---;4.833;5.644;3.643;---;;
24/09/2024;09:18:45;1020.00;;97.677;96.971;95.483;---;15.538;15.538;15.538;---;994.90;70.894;15.538;---;---;24.967;24.817;25.405;---;61.769;19.275;8.295;---;4.847;5.675;3.640;---;;
