"ID","Condition","Pressure_MPa","Experiment","DW_mg","Slope_umol_L_h","Resp_umol_mgDW_h","Pressure_char"
"Zoo.1","ZooATM",0.1,"10MPA_exp1",0.394197613662142,-5.36121645361257,-0.0680016350658017,"0.1"
"Zoo.2","ZooATM",0.1,"10MPA_exp2",0.335760367746348,-0.370481940861042,-0.0055170588379407,"0.1"
"Zoo.3","ZooATM",0.1,"10MPA_exp2",0.358995396385175,-1.3250678433506,-0.0184552205500834,"0.1"
"Zoo.4","ZooATM",0.1,"10MPA_exp3",0.217122790651552,-3.43820838651479,-0.0791765888831212,"0.1"
"Zoo.5","ZooATM",0.1,"10MPA_exp3",0.62938284027204,-4.17404143109495,-0.0331597968995373,"0.1"
"Zoo.6","ZooATM",0.1,"5MPA_exp1",0.273741543273662,-0.341086629798565,-0.00623008524244304,"0.1"
"Zoo.7","ZooATM",0.1,"5MPA_exp1",0.303812910944274,-4.37755690858496,-0.0720436286756078,"0.1"
"Zoo.8","ZooATM",0.1,"5MPA_exp2",0.38590046785569,-1.23575245958102,-0.0160112848067748,"0.1"
"Zoo.9","ZooATM",0.1,"5MPA_exp2",0.372303816043125,-3.93142006848947,-0.0527985464972253,"0.1"
"ZooHP.1","ZooHP",10,"10MPA_exp1",0.375000025870289,-1.61426028056712,-0.0215234689227126,"10"
"ZooHP.2","ZooHP",10,"10MPA_exp1",0.273741543273662,-4.13129235646803,-0.0754597257519284,"10"
"ZooHP.3","ZooHP",10,"10MPA_exp2",0.311017589063822,-2.2138512672047,-0.035590451232493,"10"
"ZooHP.4","ZooHP",10,"10MPA_exp3",0.239252756439356,-0.915282605608149,-0.0191279427503722,"10"
"ZooHP.5","ZooHP",10,"10MPA_exp3",0.437264647316781,-3.20053598764426,-0.0365972415936658,"10"
"ZooHP.6","ZooHP",5,"5MPA_exp1",0.343403019680363,-1.4804485004974,-0.0215555544892324,"5"
"ZooHP.7","ZooHP",5,"5MPA_exp1",0.299065326707055,-2.17881787056761,-0.0364271227052316,"5"
"ZooHP.9","ZooHP",5,"5MPA_exp2",0.449198511388721,-1.42444094654518,-0.0158553613873458,"5"
