Date [A Ch.2 Main];Time [A Ch.2 Main];dt (s) [A Ch.2 Main];Oxygen (%air sat.) [A Ch.2 Main];dphi (°) [A Ch.2 Main];Signal Intensity (mV) [A Ch.2 Main];Ambient Light (mV) [A Ch.2 Main];Status [A Ch.2 Main];Date [A Ch.2 CompT];Time [A Ch.2 CompT];dt (s) [A Ch.2 CompT];Sample Temp. (°C) [A Ch.2 CompT];Status [A Ch.2 CompT];Date [A Ch.2 CompP];Time [A Ch.2 CompP];dt (s) [A Ch.2 CompP];Pressure (mbar) [A Ch.2 CompP];Status [A Ch.2 CompP];Date [A Ch.3 Main];Time [A Ch.3 Main];dt (s) [A Ch.3 Main];Oxygen (%air sat.) [A Ch.3 Main];dphi (°) [A Ch.3 Main];Signal Intensity (mV) [A Ch.3 Main];Ambient Light (mV) [A Ch.3 Main];Status [A Ch.3 Main];Date [A Ch.3 CompT];Time [A Ch.3 CompT];dt (s) [A Ch.3 CompT];Sample Temp. (°C) [A Ch.3 CompT];Status [A Ch.3 CompT];Date [A Ch.3 CompP];Time [A Ch.3 CompP];dt (s) [A Ch.3 CompP];Pressure (mbar) [A Ch.3 CompP];Status [A Ch.3 CompP];Date [A Ch.4 Main];Time [A Ch.4 Main];dt (s) [A Ch.4 Main];Oxygen (%air sat.) [A Ch.4 Main];dphi (°) [A Ch.4 Main];Signal Intensity (mV) [A Ch.4 Main];Ambient Light (mV) [A Ch.4 Main];Status [A Ch.4 Main];Date [A Ch.4 CompT];Time [A Ch.4 CompT];dt (s) [A Ch.4 CompT];Sample Temp. (°C) [A Ch.4 CompT];Status [A Ch.4 CompT];Date [A Ch.4 CompP];Time [A Ch.4 CompP];dt (s) [A Ch.4 CompP];Pressure (mbar) [A Ch.4 CompP];Status [A Ch.4 CompP];Date [A T1];Time [A T1];dt (s) [A T1];Sample Temp. (°C) [A T1];Status [A T1];Date [Comment];Time [Comment];Comment
23-09-2024;10:28:17.736;0.015;101.087;24.521;155;0;OK;23-09-2024;10:28:17.736;0.015;15.619;OK;23-09-2024;10:28:17.736;0.015;995;OK;23-09-2024;10:28:17.877;0.156;102.963;24.630;56;0;OK;23-09-2024;10:28:17.877;0.156;15.619;OK;23-09-2024;10:28:17.877;0.156;995;OK;23-09-2024;10:28:18.081;0.360;99.940;24.641;88;0;OK;23-09-2024;10:28:18.081;0.360;15.619;OK;23-09-2024;10:28:18.081;0.360;995;OK;23-09-2024;10:31:49.123;211.401;15.600;OK;;;
23-09-2024;10:30:48.614;150.893;101.192;24.513;154;0;OK;23-09-2024;10:30:48.614;150.893;15.594;OK;23-09-2024;10:30:48.614;150.893;995;OK;23-09-2024;10:30:48.759;151.038;102.597;24.674;56;0;OK;23-09-2024;10:30:48.759;151.038;15.595;OK;23-09-2024;10:30:48.759;151.038;995;OK;23-09-2024;10:30:48.966;151.245;99.802;24.660;88;0;OK;23-09-2024;10:30:48.966;151.245;15.594;OK;23-09-2024;10:30:48.966;151.245;995;OK;23-09-2024;10:32:49.144;271.423;15.609;OK;;;
23-09-2024;10:31:18.827;181.106;101.199;24.512;154;1;OK;23-09-2024;10:31:18.827;181.106;15.599;OK;23-09-2024;10:31:18.827;181.106;995;OK;23-09-2024;10:31:18.619;180.898;102.588;24.674;56;1;OK;23-09-2024;10:31:18.619;180.898;15.600;OK;23-09-2024;10:31:18.619;180.898;995;OK;23-09-2024;10:31:18.963;181.242;100.032;24.633;88;0;OK;23-09-2024;10:31:18.963;181.242;15.599;OK;23-09-2024;10:31:18.963;181.242;995;OK;23-09-2024;10:33:49.146;331.425;15.610;OK;;;
23-09-2024;10:31:48.622;210.900;101.274;24.503;154;1;OK;23-09-2024;10:31:48.622;210.900;15.602;OK;23-09-2024;10:31:48.622;210.900;995;OK;23-09-2024;10:31:48.754;211.033;102.648;24.668;56;0;OK;23-09-2024;10:31:48.754;211.033;15.601;OK;23-09-2024;10:31:48.754;211.033;995;OK;23-09-2024;10:31:48.959;211.238;100.214;24.612;88;1;OK;23-09-2024;10:31:48.959;211.238;15.600;OK;23-09-2024;10:31:48.959;211.238;995;OK;23-09-2024;10:34:49.124;391.402;15.609;OK;;;
23-09-2024;10:32:18.827;241.106;101.275;24.502;154;0;OK;23-09-2024;10:32:18.827;241.106;15.607;OK;23-09-2024;10:32:18.827;241.106;995;OK;23-09-2024;10:32:18.624;240.902;102.678;24.664;56;0;OK;23-09-2024;10:32:18.624;240.902;15.607;OK;23-09-2024;10:32:18.624;240.902;995;OK;23-09-2024;10:32:18.959;241.238;100.385;24.591;88;0;OK;23-09-2024;10:32:18.959;241.238;15.608;OK;23-09-2024;10:32:18.959;241.238;995;OK;23-09-2024;10:35:49.146;451.425;15.610;OK;;;
23-09-2024;10:32:49.010;271.289;101.426;24.484;154;1;OK;23-09-2024;10:32:49.010;271.289;15.609;OK;23-09-2024;10:32:49.010;271.289;995;OK;23-09-2024;10:32:48.623;270.902;102.603;24.672;56;0;OK;23-09-2024;10:32:48.623;270.902;15.609;OK;23-09-2024;10:32:48.623;270.902;995;OK;23-09-2024;10:32:48.832;271.111;100.179;24.615;88;0;OK;23-09-2024;10:32:48.832;271.111;15.610;OK;23-09-2024;10:32:48.832;271.111;995;OK;23-09-2024;10:36:49.133;511.412;15.608;OK;;;
23-09-2024;10:33:18.996;301.275;101.413;24.485;154;0;OK;23-09-2024;10:33:18.996;301.275;15.609;OK;23-09-2024;10:33:18.996;301.275;995;OK;23-09-2024;10:33:18.622;300.901;102.734;24.657;56;1;OK;23-09-2024;10:33:18.622;300.901;15.608;OK;23-09-2024;10:33:18.622;300.901;995;OK;23-09-2024;10:33:18.830;301.109;100.296;24.602;88;1;OK;23-09-2024;10:33:18.830;301.109;15.609;OK;23-09-2024;10:33:18.830;301.109;994;OK;23-09-2024;10:37:49.141;571.420;15.603;OK;;;
23-09-2024;10:33:48.998;331.276;101.343;24.494;154;0;OK;23-09-2024;10:33:48.998;331.276;15.610;OK;23-09-2024;10:33:48.998;331.276;995;OK;23-09-2024;10:33:48.628;330.906;102.515;24.682;56;0;OK;23-09-2024;10:33:48.628;330.906;15.610;OK;23-09-2024;10:33:48.628;330.906;995;OK;23-09-2024;10:33:48.832;331.111;100.408;24.589;88;0;OK;23-09-2024;10:33:48.832;331.111;15.609;OK;23-09-2024;10:33:48.832;331.111;994;OK;23-09-2024;10:38:49.136;631.415;15.598;OK;;;
23-09-2024;10:34:18.831;361.110;101.449;24.482;154;1;OK;23-09-2024;10:34:18.831;361.110;15.606;OK;23-09-2024;10:34:18.831;361.110;995;OK;23-09-2024;10:34:18.627;360.906;102.447;24.690;56;0;OK;23-09-2024;10:34:18.627;360.906;15.606;OK;23-09-2024;10:34:18.627;360.906;995;OK;23-09-2024;10:34:18.962;361.241;100.417;24.587;88;0;OK;23-09-2024;10:34:18.962;361.241;15.605;OK;23-09-2024;10:34:18.962;361.241;995;OK;23-09-2024;10:39:49.142;691.421;15.602;OK;;;
23-09-2024;10:34:48.827;391.105;101.412;24.486;154;0;OK;23-09-2024;10:34:48.827;391.105;15.608;OK;23-09-2024;10:34:48.827;391.105;995;OK;23-09-2024;10:34:48.623;390.902;102.618;24.670;56;0;OK;23-09-2024;10:34:48.623;390.902;15.608;OK;23-09-2024;10:34:48.623;390.902;995;OK;23-09-2024;10:34:48.960;391.239;100.407;24.588;88;0;OK;23-09-2024;10:34:48.960;391.239;15.609;OK;23-09-2024;10:34:48.960;391.239;995;OK;23-09-2024;10:40:49.144;751.422;15.599;OK;;;
